Name,Size (bp),Concentration (ng/microlitre),Volume (microlitres),source plate,source well
pYTK002,1856,190,25,Plate1,A1
pYTK003,1856,311,25,Plate1,A2
pYTK004,1856,333,25,Plate1,A3
pYTK005,1856,332,25,Plate1,A4
pYTK006,1856,318,25,Plate1,A5
pYTK007,1856,231,25,Plate1,A6
pYTK019,2371,200,25,Plate1,A7
pYTK020,2371,406,25,Plate1,A8
pYTK021,2371,288,25,Plate1,A9
pYTK022,2371,359,25,Plate1,A10
pYTK023,2371,226,25,Plate1,A11
pYTK024,2371,307,25,Plate1,A12
pYTK025,2365,417,25,Plate1,B1
p3_DT10,2776,247,25,Plate1,B2
p3_DT12,2752,165,25,Plate1,B3
p3_DT13,2422,199,25,Plate1,B4
p3_DT07,2767,267,25,Plate1,B5
p3_DT06,3172,245,25,Plate1,B6
p3_DT08,2575,254,25,Plate1,B7
pYTK051,1900,393,25,Plate1,B8
pYTK052,1900,206,25,Plate1,B9
pYTK053,1900,257,25,Plate1,B10
pYTK054,1900,281,25,Plate1,B11
pYTK055,1900,284,25,Plate1,B12
pYTK056,1899,339,25,Plate1,C1
pYTK067,1835,436,25,Plate1,C2
pYTK068,1835,472,25,Plate1,C3
pYTK069,1835,343,25,Plate1,C4
pYTK070,1835,314,25,Plate1,C5
pYTK071,1835,322,25,Plate1,C6
pYTK072,1835,400,25,Plate1,C7
pYTK095,2906,46,30,Plate1,C8
pYTK096,5283,72,35,Plate1,C9
