Part,Type,Length,ng/uL,vol,source plate,source well,num_well
TU1-5',1,556,5,100,Plate1,A1,96
PSMB gblock,2,848,10,10,Plate1,A3,96
pYTK001,3,2676,50,10,Plate1,A4,96
TU1-5' gblock,4,250,5,10,Plate1,A5,96
TU1-3',5,150,5,100,Plate1,A6,96
PSMB gblock,6,800,10,100,Plate1,A7,96
pYTK001,7,2676,50,100,Plate1,A8,96
pYTK001,8,2676,245.2,100,Plate1,A9,96
pYTK002,1,1856,175.8,100,Plate1,A10,96
pYTK003,2,1856,296.4,100,Plate1,A11,96
pYTK004,3,1856,296.8,100,Plate1,A12,96
pYTK005,4,1856,306.5,100,Plate1,B1,96
pYTK006,5,1856,298.4,100,Plate1,B2,96
pYTK007,6,1856,269.4,100,Plate1,B3,96
pYTK008,7,1835,288.2,100,Plate1,B4,96
pYTK009,8,2351,285,100,Plate1,B5,96
pYTK010,1,2371,240.2,100,Plate1,B6,96
pYTK011,2,2371,264.6,100,Plate1,B7,96
pYTK012,3,2347,268.1,100,Plate1,B8,96
pYTK013,4,2371,327,100,Plate1,B9,96
pYTK014,5,2371,385.6,100,Plate1,B10,96
pYTK015,6,2371,321.9,100,Plate1,B11,96
pYTK016,7,2370,256.2,100,Plate1,B12,96
pYTK017,8,2371,434.9,100,Plate1,C1,96
pYTK018,1,2371,369.7,100,Plate1,C2,96
pYTK019,2,2371,306,100,Plate1,C3,96
pYTK020,3,2371,351.7,100,Plate1,C4,96
pYTK021,4,2371,320.2,100,Plate1,C5,96
pYTK022,5,2371,231,100,Plate1,C6,96
pYTK023,6,2371,236.9,100,Plate1,C7,96
pYTK024,7,2371,223.7,100,Plate1,C8,96
pYTK025,8,2365,355.5,100,Plate1,C9,96
pYTK026,1,2371,238.2,100,Plate1,C10,96
pYTK027,2,2371,230.5,100,Plate1,C11,96
pYTK028,3,2371,264.9,100,Plate1,C12,96
pYTK029,4,2421,350.2,100,Plate1,D1,96
pYTK030,5,2204,287.8,100,Plate1,D2,96
pYTK031,6,1977,220.2,100,Plate1,D3,96
pYTK032,7,2382,208.4,100,Plate1,D4,96
pYTK033,8,2379,175.3,100,Plate1,D5,96
pYTK034,1,2376,240.1,100,Plate1,D6,96
pYTK035,2,2373,287.6,100,Plate1,D7,96
pYTK036,3,5829,225.2,100,Plate1,D8,96
pYTK037,4,2382,209.7,100,Plate1,D9,96
pYTK038,5,2379,285.9,100,Plate1,D10,96
pYTK039,6,2376,166.8,100,Plate1,D11,96
pYTK040,7,1761,278.4,100,Plate1,D12,96
pYTK041,8,2013,197.9,100,Plate1,E1,96
pYTK042,1,2013,372.4,100,Plate1,E2,96
pYTK043,2,2013,299.6,100,Plate1,E3,96
pYTK044,3,2382,257.4,100,Plate1,E4,96
pYTK045,4,2379,303.3,100,Plate1,E5,96
pYTK046,5,2376,255.7,100,Plate1,E6,96
pYTK047,6,2684,438.2,100,Plate1,E7,96
pYTK048,7,1703,317.8,100,Plate1,E8,96
pYTK049,8,1684,277.8,100,Plate1,E9,96
pYTK050,1,3108,336.4,100,Plate1,E10,96
pYTK051,2,1900,256.6,100,Plate1,E11,96
pYTK052,3,1900,261.7,100,Plate1,E12,96
pYTK053,4,1900,408.5,100,Plate1,F1,96
pYTK054,5,1900,375.9,100,Plate1,F2,96
pYTK055,6,1900,304.7,100,Plate1,F3,96
pYTK056,7,1899,353.6,100,Plate1,F4,96
pYTK057,8,2389,261.1,100,Plate1,F5,96
pYTK058,1,2386,242,100,Plate1,F6,96
pYTK059,2,2383,283.7,100,Plate1,F7,96
pYTK060,3,1768,347.9,100,Plate1,F8,96
pYTK061,4,1891,427.7,100,Plate1,F9,96
pYTK062,5,1891,265.5,100,Plate1,F10,96
pYTK063,6,1891,419.3,100,Plate1,F11,96
pYTK064,7,1891,359.6,100,Plate1,F12,96
pYTK065,8,1891,348.3,100,Plate1,G1,96
pYTK066,1,1890,404.4,100,Plate1,G2,96
pYTK067,2,1835,354.2,100,Plate1,G3,96
pYTK068,3,1835,403.4,100,Plate1,G4,96
pYTK069,4,1835,272.1,100,Plate1,G5,96
pYTK070,5,1835,337.6,100,Plate1,G6,96
pYTK071,6,1835,283.5,100,Plate1,G7,96
pYTK072,7,1835,388.6,100,Plate1,G8,96
pYTK073,8,1856,451.2,100,Plate1,G9,96
pYTK074,1,2725,324.5,100,Plate1,G10,96
pYTK075,2,3583,304.8,100,Plate1,G11,96
pYTK076,3,2776,340.6,100,Plate1,G12,96
pYTK077,4,3061,286.2,100,Plate1,H1,96
pYTK078,5,2824,267.2,100,Plate1,H2,96
pYTK079,6,3280,332.5,100,Plate1,H3,96
pYTK080,7,2626,340.7,100,Plate1,H4,96
pYTK081,8,2174,533.3,100,Plate1,H5,96
pYTK082,1,2667,353.6,100,Plate1,H6,96
pYTK083,2,2789,605.9,100,Plate1,H7,96
pYTK084,3,2694,377.7,100,Plate1,H8,96
pYTK085,4,2848,506.4,100,Plate1,H9,96
pYTK086,5,2186,457.2,100,Plate1,H10,96
pYTK087,6,2176,502.5,100,Plate1,H11,96
pYTK088,7,2186,589.1,100,Plate1,H12,96
pYTK089,8,2789,866.4,100,Plate2,A1,96
pYTK090,1,2694,484.6,100,Plate2,A2,96
pYTK091,2,2848,515.5,100,Plate2,A3,96
pYTK092,3,2186,441.2,100,Plate2,A4,96
pYTK093,4,2186,340.4,100,Plate2,A5,96
pYTK094,5,2186,471.1,100,Plate2,A6,96
pYTK095,6,2906,523.2,100,Plate2,A7,96
pYTK096,7,5283,342.2,100,Plate2,A8,96
